subset,split,model,rmse,phm08_score
FD001,val,LSTM,41.85459121630486,1141542.3116691122
FD001,test,LSTM,42.79559051090216,30301.36517820962
FD002,val,LSTM,14.55662972909121,57747.708271859396
FD002,test,LSTM,26.152403384710848,8587.709620855034
FD003,val,LSTM,41.08040271346781,2067021.9686198863
FD003,test,LSTM,44.559969087436286,50840.52552368753
FD004,val,LSTM,14.553632570973642,182121.20555562043
FD004,test,LSTM,26.715493995549398,4650.48003745644
